,CANCERTYPE,ACCURACY,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,ACC,0.8105263157894737,0.8729292929292929,0.9312724390943202,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
1,ALL,0.7879490150637312,0.8703457350428181,0.8681771292112939,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
2,BLCA,0.8210970464135021,0.9009868050739452,0.9415610896519271,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
3,BRCA,0.8310803618946248,0.8848041663069802,0.9435716486575082,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
4,CESC,0.8241226300927793,0.904782778102474,0.949321288540434,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
5,CLL,0.7167721518987342,0.8201528677285723,0.9047820690403086,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
6,COAD/READ,0.7977188862797719,0.8632611628365224,0.9328295845089514,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
7,DLBC,0.7695524237261886,0.8685671560787755,0.8793953381062529,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
8,ESCA,0.8047719087635054,0.8708638092776203,0.925599842157866,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
9,GBM,0.8321908026278206,0.89959274292654,0.9425611239779098,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
10,HNSC,0.8233921161825726,0.9012782166155141,0.9371323419310161,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
11,KIRC,0.7925807026930622,0.8648926190025452,0.9211601750113285,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
12,LAML,0.7792580101180439,0.8644894534927039,0.8686306390575887,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
13,LCML,0.782549109182275,0.8677568934277989,0.8325669440738881,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
14,LGG,0.8282548476454293,0.893483958122256,0.9385037492664059,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
15,LIHC,0.7974887314874437,0.8770847430017794,0.9251044237761015,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
16,LUAD,0.8192023131218641,0.88307974109618,0.9399618439679952,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
17,LUSC,0.8373925501432665,0.907222299137016,0.9519322984543799,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
18,MB,0.8241082410824109,0.9048312068048909,0.9432769334957258,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
19,MESO,0.7948094079480941,0.8827839274304055,0.9517487230688506,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
20,MM,0.8089855891494773,0.8932692807147402,0.9203735280773739,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
21,NB,0.7886114203912836,0.8631392236445272,0.9157463660764735,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
22,OV,0.8276872367698224,0.8968730161057842,0.9461472582563037,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
23,PAAD,0.835461510397665,0.9083968078756438,0.9514625129151915,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
24,PRAD,0.7981735159817351,0.8724700814501258,0.9283103464595073,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
25,SCLC,0.809610705596107,0.8704469720921368,0.9413280145572467,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
26,SKCM,0.8073778664007976,0.876082193920652,0.9197242433702458,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
27,STAD,0.8043315907393578,0.8784874880283038,0.9323333211092368,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
28,THCA,0.8132867132867133,0.8959895178197064,0.9345349596482708,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
29,UCEC,0.8269230769230769,0.8989979460093898,0.9488827255061452,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
30,others,0.7942498199965241,0.875870367643758,0.9156477123994053,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
