,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
0,BLCA,5557,167,0.6107784431137725,0.6107784431137725,1.0,0.758364312267658,0.5334087481146305,0.6199153366922467,0.1,0.6079523229995318,0.00039081152125959215
1,BRCA,5380,344,0.6308139534883721,0.6308139534883721,1.0,0.7736185383244207,0.48849740556623966,0.6420154256960758,0.1,0.6079523229995318,0.00039081152125959215
2,CHOL,5712,12,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.5,0.5833333333333334,0.1,0.6079523229995318,0.00039081152125959215
3,COADREAD,5466,258,0.5581395348837209,0.5581395348837209,1.0,0.7164179104477612,0.5796174463937621,0.6427853924615208,0.1,0.6079523229995318,0.00039081152125959215
4,DLBC,5580,144,0.6041666666666666,0.6041666666666666,1.0,0.7532467532467533,0.5617059891107078,0.6462114992287405,0.1,0.6079523229995318,0.00039081152125959215
5,ESCA,5565,159,0.5283018867924528,0.5283018867924528,1.0,0.6913580246913581,0.5321428571428571,0.5727732306500821,0.1,0.6079523229995318,0.00039081152125959215
6,GBM,5479,245,0.6653061224489796,0.6653061224489796,1.0,0.7990196078431372,0.5302633547807871,0.6886079073516436,0.1,0.6079523229995318,0.00039081152125959215
7,HNSC,5645,79,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5284237726098191,0.5852852454540072,0.1,0.6079523229995318,0.00039081152125959215
8,KIRC,5643,81,0.691358024691358,0.691358024691358,1.0,0.8175182481751825,0.5453571428571428,0.727368065163641,0.1,0.6079523229995318,0.00039081152125959215
9,LAML,5628,96,0.4583333333333333,0.4583333333333333,1.0,0.6285714285714286,0.5,0.4583333333333333,0.1,0.6079523229995318,0.00039081152125959215
10,LGG,5678,46,0.6304347826086957,0.6304347826086957,1.0,0.7733333333333333,0.5385395537525355,0.6524654339496918,0.1,0.6079523229995318,0.00039081152125959215
11,LIHC,5530,194,0.6391752577319587,0.6391752577319587,1.0,0.7798742138364779,0.5905529953917049,0.6888533090838059,0.1,0.6079523229995318,0.00039081152125959215
12,LUAD,5192,532,0.5827067669172933,0.5827067669172933,1.0,0.7363420427553445,0.5460621912234814,0.6187723899376318,0.1,0.6079523229995318,0.00039081152125959215
13,LUSC,5542,182,0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,0.5576530612244899,0.6645692488450565,0.1,0.6079523229995318,0.00039081152125959215
14,MESO,5640,84,0.6309523809523809,0.6309523809523809,1.0,0.7737226277372262,0.49269628727936693,0.6316112608565438,0.1,0.6079523229995318,0.00039081152125959215
15,OV,5441,283,0.6643109540636042,0.6643109540636042,1.0,0.7983014861995754,0.5232642777155655,0.6676120970490943,0.1,0.6079523229995318,0.00039081152125959215
16,PAAD,5424,300,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.5255133928571429,0.5559577492246712,0.1,0.6079523229995318,0.00039081152125959215
17,PRAD,5688,36,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5,0.6666666666666666,0.1,0.6079523229995318,0.00039081152125959215
18,SKCM,5305,419,0.5322195704057279,0.5322195704057279,1.0,0.6947040498442366,0.49551569506726456,0.5249743323087309,0.1,0.6079523229995318,0.00039081152125959215
19,STAD,5510,214,0.5747663551401869,0.5747663551401869,1.0,0.7299703264094956,0.5695077280443135,0.6335755562013932,0.1,0.6079523229995318,0.00039081152125959215
20,THCA,5664,60,0.55,0.55,1.0,0.7096774193548387,0.4865319865319866,0.5554713804713806,0.1,0.6079523229995318,0.00039081152125959215
21,UCEC,5504,220,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.5339285714285714,0.6594595066357425,0.1,0.6079523229995318,0.00039081152125959215
22,others,4155,1569,0.5965583173996176,0.5965583173996176,1.0,0.7473053892215569,0.5043081041303791,0.591175490485053,0.1,0.6079523229995318,0.00039081152125959215
