,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,N_ESTIMTORS,MAX_DEPTH
0,BLCA,5557,167,0.6107784431137725,0.6107784431137725,1.0,0.758364312267658,0.5475867269984916,0.6432468416935506,53,3
1,BRCA,5380,344,0.6308139534883721,0.6308139534883721,1.0,0.7736185383244207,0.5161471751514932,0.638684996814011,53,3
2,CHOL,5712,12,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.5,0.5833333333333334,53,3
3,COADREAD,5466,258,0.5581395348837209,0.5581395348837209,1.0,0.7164179104477612,0.5674342105263158,0.6142164590269528,53,3
4,DLBC,5580,144,0.6041666666666666,0.6041666666666666,1.0,0.7532467532467533,0.5326678765880217,0.6562076705754868,53,3
5,ESCA,5565,159,0.5283018867924528,0.5283018867924528,1.0,0.6913580246913581,0.4826190476190477,0.5157793469212575,53,3
6,GBM,5479,245,0.6653061224489796,0.6653061224489796,1.0,0.7990196078431372,0.5240535687565464,0.6750000693964663,53,3
7,HNSC,5645,79,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5645994832041343,0.5903439399149282,53,3
8,KIRC,5643,81,0.691358024691358,0.691358024691358,1.0,0.8175182481751825,0.5396428571428571,0.7010225833316168,53,3
9,LAML,5628,96,0.4583333333333333,0.4583333333333333,1.0,0.6285714285714286,0.5209790209790209,0.4727678571428572,53,3
10,LGG,5678,46,0.6304347826086957,0.6304347826086957,1.0,0.7733333333333333,0.4858012170385395,0.6226867849497711,53,3
11,LIHC,5530,194,0.6391752577319587,0.6391752577319587,1.0,0.7798742138364779,0.5705069124423964,0.6720471184468985,53,3
12,LUAD,5192,532,0.5827067669172933,0.5827067669172933,1.0,0.7363420427553445,0.5186283057250799,0.5995645995435427,53,3
13,LUSC,5542,182,0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,0.5418367346938775,0.6578524870864375,53,3
14,MESO,5640,84,0.6309523809523809,0.6309523809523809,1.0,0.7737226277372262,0.514607425441266,0.6435534591194968,53,3
15,OV,5441,283,0.6643109540636042,0.6643109540636042,1.0,0.7983014861995754,0.5028835386338186,0.6689239227119079,53,3
16,PAAD,5424,300,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.5197544642857143,0.5573515996136399,53,3
17,PRAD,5688,36,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5,0.6666666666666666,53,3
18,SKCM,5305,419,0.5322195704057279,0.5322195704057279,1.0,0.6947040498442366,0.4981925505628261,0.5412001335653762,53,3
19,STAD,5510,214,0.5747663551401869,0.5747663551401869,1.0,0.7299703264094956,0.5716519253104618,0.617702583568726,53,3
20,THCA,5664,60,0.55,0.55,1.0,0.7096774193548387,0.5404040404040404,0.5631313131313131,53,3
21,UCEC,5504,220,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.5253571428571429,0.6540509780276861,53,3
22,others,4155,1569,0.5965583173996176,0.5965583173996176,1.0,0.7473053892215569,0.5260148728750624,0.615725263588009,53,3
